ID,Name,Affiliations
P8041475, William Edward Acraman, BCC:GWR
Pe822a27, William Bruce Adair, 
P5a180b0, Thomas Kington Bayly, 
P4fe27a3, Thomas Baynton, 
P1592273, Robert Bright, BCC:GWR
Pbb00e87, Isambard Kingdom Brunel, BDC:GWR
Pf6d1fb4, Henry Bush, BCC:GWR
P21651e1, Captain RN Walcott, 
Pc64d3fa, W. H. Castle, 
Pd2f4d82, J. B. Clarke, 
P31a70ec, Christopher Claxton, BDC
P4ddfbf9, William Claxton, SMV
P9585948, Joseph Cookson, BCC
P98d7aec, Captain Superintendent RN Jackson, RN
Pde64423, Thomas Cruttwell, 
Pe70c23e, James Cunningham, 
Pb8f14a4, Mr. Dowell, 
Pa87dc0d, John Edye, RN
P6689012, F. H. Falkner, 
P3c58aa1, Joshua Field, 
P18dd5b8, Dr. Charles Fox, 
P58d164c, Charles Fripp, BCC:GWR
P88a8ad4, George H. Gibbs, BCC:GWR
P7d6ac73, Henry G. Godwin, 
P68252e3, Thomas Guppy, BCC:BDC:GWR
P2b87cec, Samuel Hall, 
Pc742055, Mr. Harding, BCC
P67d12d8, John Hare, BCC
P97842ba, John Harford, BCC:GWR
P08c61f1, Richard Irvin, 
Pb8d8ff4, Thomas Kingsbury, 
Pc83f9c3, Thomas Kington, BCC
P4f1844b, Oliver Lang, RN
Pd6531cb, Mr. Levy, 
P86709f5, Miss. Lucas, 
P91589f7, Samuel Lucas, 
P9a524d4, George Lunnell, B&A:BCC:BDC
P84330a8, Peter Maze (the elder), BCC:BDC:GWR
P20ada8d, John Moxham, 
Pf27fbef, William Patterson, 
P57bda72, Thomas Pycroft, GWR
Pefa0145, Richard Robinson, BCC
Pae0912e, Robert Scott, GWR
P23615c7, John Stafford, 
P9077f02, Robert Stephenson, GWR
Paf80292, William Symonds, RN
P0fc77cb, John Taylor, BCC
P3994bee, Rev. Taylor, 
Pfef357c, John Vining, GWR
P248a8f9, Mr. Warr, 
P4a2552b, Thomas Boneville Were, 
Pd265828, John Winwood, BCC
P0ad5108, Robert Young, GWR
Pfc20d19, John Barnes, 
P73e4d92, John Barrow, 
P072e571, J. P. Bartrun, 
P217f15e, J. Bates, 
Pa41a6fd, Captain Ed R. N. Chappel, RN
P3d1ff4b, Captain Crozier, RN
P6343c63, Bryan Donkin, 
P0cfbafc, William Fairbairn, 
Pc60c1c0, John Grantham, 
Pfcfda92, W. Hamilton, 
P4b3299f, Francis Humphrys, 
P707fbdc, A. P. Johnson, 
P22dfb4d, John Laird, 
P0e0d73f, John William Miles, 
P7d72945, W. Morgan, 
P0893faf, G. Norman, 
P4d72c5c, William Edward Parry, RN
P57b2427, George Rennie, 
P8d92578, Francis Petit Smith, 
P6b95eb4, Mr. Smith, 
P2ac1cdd, Mr. Stedder, GWR
Pef9ff39, Robert Stepehnson, GWR
